structure,n_tokens,ada_embedding,Cluster
" Voici la structure sémantique générique du TED talk :

Introduction
    - Présentation du sujet
    - Annonce du plan
    
Corps du Talk 
    - Présentation de la découverte originale
    - Récit de la façon dont la découverte s'est réellement passée
    - Explication du concept de biomimétique
    - Présentation de la collaboration avec des ingénieurs 
    - Tests et applications concrètes des découvertes 
    - Nouvelles découvertes issues des questions des ingénieurs
    - Expériences en laboratoire pour tester les hypothèses 
    - Observations sur le terrain pour valider les découvertes
  
Conclusion
    - Appel à développer les biomutualismes 
    - Nécessité de réformer l'éducation
    - Importance de préserver la nature",264,"[-0.00239202  0.00489968 -0.00050508 ... -0.02838708 -0.0277263
 -0.02251936]",1
" Voici une structure générique pour ce TED talk :

Introduction
    - Présenter le sujet
    - Expliquer l'intérêt du sujet
    - Présenter le plan 

Corps du Talk
    - Exposer une théorie/idée
    - Donner des exemples concrets
    - Analyser les causes 
    - Présenter les conséquences
    - Proposer des solutions

Conclusion
    - Résumer les points clés
    - Insister sur l'importance du sujet
    - Finir sur une note inspirante

Ce modèle générique pourrait être réutilisé pour écrire un nouveau talk en remplaçant le contenu spécifique par de nouvelles informations sur un autre sujet, tout en conservant la même structure logique d'introduction, développement et conclusion. Les points du corps du talk pourraient être adaptés en fonction du contenu mais correspondent à une progression logique pour exposer une problématique. Ce plan permet de séquencer les idées et de construire un discours cohérent et convaincant.",319,"[-0.01254154 -0.00031134  0.00423476 ... -0.02009199 -0.03533331
 -0.01909632]",0
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk 
    - Exposition de l'expérience personnelle
    - Apport théorique et connaissances
    - Illustrations et exemples
    - Ouverture sur une dimension plus large
  
Conclusion
    - Synthèse 
    - Conclusion personnelle
    - Message à retenir",143,"[-0.01065595  0.01119165  0.00741592 ... -0.02795976 -0.02078265
 -0.02526189]",2
"Voici une structure sémantique générique pour le TED Talk :

Introduction
    - Présentation du sujet 
    - Annonce du plan
  
Corps du Talk
  - Exemple 1 illustrant le sujet
    - Détails sur l'exemple 1
  - Exemple 2 illustrant le sujet 
    - Détails sur l'exemple 2
  - Analyse et interprétation des exemples
  
Conclusion
  - Rappel du sujet
  - Synthèse des idées principales
  - Ouverture/perspective",156,"[-0.00719877  0.00839322  0.01619563 ... -0.02442831 -0.03038769
 -0.02666308]",3
" Voici une structure générique possible pour ce TED talk :

Introduction
    - Présentation du contexte personnel
    - Questionnement qui a mené au talk

Corps du Talk  
    - Explication du phénomène observé
    - Apport de connaissances scientifiques
    - Analyse et interprétation 
    - Constats et conclusions

Conclusion
    - Résumé 
    - Message d'espoir
    - Appel à l'action collective",140,"[-0.00804377  0.01385316  0.01430003 ... -0.02350568 -0.01947103
 -0.02622524]",2
" Voici une structure générique pour ce TED talk :

Introduction
    - Présenter le sujet
    - Introduire le problème/la situation actuelle
    
Corps du Talk  
    - Développer le problème/la situation actuelle
        - Donner des exemples/statistiques
        - Expliquer les conséquences/impacts
    - Présenter la solution proposée 
        - Expliquer le fonctionnement
        - Montrer les avantages
        
    - Imaginer des applications futures
        - Donner des exemples d'utilisations potentielles
        - Montrer les possibilités futures
        
Conclusion
    - Résumer les points clés
    - Insister sur l'importance de la solution
    - Conclure sur une note inspirante/motivante",277,"[-0.00422062  0.00433347  0.01035647 ... -0.02535595 -0.02757427
 -0.02540753]",2
" Voici une proposition de structure générique pour ce TED talk :

Introduction
    - Accroche 
    - Annonce du sujet
    - Problématique

Corps du Talk
    - Présentation de la solution proposée
        - Description
        - Avantages
    - Exemples d'applications concrètes 
    - Résultats obtenus
    - Perspectives futures

Conclusion 
    - Synthèse
    - Conclusion morale
    - Ouverture",155,"[-0.00631746  0.01515149  0.00797892 ... -0.0319677  -0.02268172
 -0.02351408]",2
"Voici une proposition de structure sémantique générique pour le TED Talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Point 1
        - Présentation
        - Développement
        - Exemples
    - Point 2
        - Présentation
        - Développement 
        - Exemples
    - Point n
        - Présentation
        - Développement
        - Exemples

Conclusion
    - Résumé des points clés
    - Ouverture / perspective

Cette structure permet de présenter un sujet de manière claire et convaincante, en introduisant le thème, en développant des points clés avec des exemples concrets, et en concluant par un résumé et une ouverture. Elle peut être adaptée à différents sujets et contenus, en faisant varier le nombre de points clés, les exemples, etc. L'objectif est de captiver l'audience en apportant un éclairage pertinent sur une problématique.",365,"[-0.00563684  0.00303559  0.01386033 ... -0.0173092  -0.02556835
 -0.03275134]",3
" Voici une structure générique possible pour ce TED talk :

Introduction
  - Accroche : annonce du sujet et de l'objectif du talk
  - Présentation du contexte et de l'intérêt du sujet

Corps du talk
  - Présentation de l'élément clé à étudier
  - Explication détaillée de cet élément
  - Illustration par des exemples concrets
  - Approfondissement et analyses complémentaires
  - Mise en perspective et lien avec des enjeux actuels

Conclusion 
  - Synthèse des points clés
  - Ouverture sur de nouvelles perspectives et questions
  - Message à retenir pour le public

Cette structure suit une progression logique pour présenter un sujet de manière didactique, de l'introduction générale à l'approfondissement puis à une conclusion engageante. Le corps du talk permet d'explorer en détails l'élément présenté en introduction, à travers des explications, exemples et analyses. La structure est suffisamment générique pour s'adapter à de nombreux sujets, en remplaçant les éléments de contenu par le thème choisi. Le ton et la source d'information influenceront plutôt le style d'",340,"[-0.0138276   0.01047682  0.00994944 ... -0.02531415 -0.01461223
 -0.03009914]",0
" Voici une structure générique possible pour ce TED talk :

Introduction
    - Présentation du sujet
    - Mise en contexte
    - Annonce du plan

Corps du Talk  
    - Présentation de l'expédition
        - Détails sur l'expédition
        - Défis rencontrés
        - Interactions avec le public
    - Leçons tirées
        - Sur la persévérance
        - Sur l'inspiration des autres
        - Sur le dépassement de soi

Conclusion
    - Synthèse
    - Message clé 
    - Ouverture",215,"[-0.00941668  0.00162021 -0.00122002 ... -0.02457538 -0.01117947
 -0.03095254]",2
" Voici une proposition de structure sémantique générique pour le TED Talk :

Introduction
    - Présenter le sujet 
    - Expliquer l'intérêt du sujet
    - Annoncer le plan

Corps du Talk
    - Présenter la situation actuelle 
        - Décrire le status quo
        - Identifier les problèmes
    - Proposer une solution
        - Expliquer la solution
        - Justifier en quoi elle est meilleure
    - Appuyer la solution proposée
        - Donner des arguments
        - Illustrer par des exemples
    - Répondre aux objections
        - Anticiper les contre-arguments
        - Y répondre

Conclusion
    - Résumer les points clés
    - Insister sur les bénéfices de la solution
    - Faire un appel à l'action",289,"[-0.00561862  0.00284813  0.01804945 ... -0.02008082 -0.02714534
 -0.03703048]",1
" Voici une structure sémantique générique pour le TED Talk :

Introduction
    - Présentation du sujet 
    - Intention de la présentation

Corps du Talk
    - Présentation du problème/sujet
    - Explication de la solution proposée 
        - Détails de la mise en oeuvre
        - Résultats obtenus
    - Discussion des implications et effets

Conclusion 
    - Synthèse des points clés
    - Projection vers l'avenir
    - Message à retenir",169,"[-0.00792684  0.00970055  0.01254492 ... -0.02675391 -0.0308818
 -0.03495809]",1
" Voici une proposition de structure générique pour ce TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Présentation de l'intervenant
    - Annonce du plan

Corps du Talk  
    - Point de vue personnel 
    - Explication du phénomène
    - Analyse des causes et conséquences
    - Proposition de solution
    - Illustration par des exemples
    - Réfutation d'idées reçues

Conclusion
    - Résumé des points clés
    - Ouverture vers d'autres perspectives
    - Message à retenir
    - Remerciements",191,"[-0.01133648  0.00968648  0.00625706 ... -0.02681413 -0.02373413
 -0.01919178]",2
"Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Présentation chronologique
        - Époque 1
        - ...
        - Époque n
    - Transition  
    - Présentation thématique 
        - Thème 1
        - ...
        - Thème n
    - Transition
    - Projection dans le futur
        - Possibilités
        - Enjeux

Conclusion
    - Synthèse
    - Ouverture
    - Clôture",232,"[-0.00820851 -0.00102931  0.00546476 ... -0.01740411 -0.02171618
 -0.0267296 ]",4
" Voici un plan générique pour la structure du TED Talk :

Introduction
    - Présenter le sujet
    - Expliquer l'intérêt du sujet
    - Annoncer le plan 

Corps du Talk
    - Expliquer le contexte/les origines
    - Détailler les aspects principaux
    - Donner des exemples concrets
    - Apporter des preuves à l'appui
    
Conclusion 
    - Résumer les points clés
    - Faire le lien avec l'introduction
    - Ouvrir sur de nouvelles perspectives",172,"[-0.00939806 -0.00081875  0.01246915 ... -0.02251711 -0.02021061
 -0.02714287]",2
" Voici une structure sémantique générique pour le TED Talk :

Introduction
  - Présentation du contexte personnel
  - Vidéo illustrant le contexte historique
  
Corps du Talk
  - Explications sur le contexte historique
  - Récit de l'expérience personnelle durant cette période historique
    - Détails sur la situation familiale
    - Décision prise pour assurer la survie
    - Épreuve décisive
    - Conséquences positives
  - Transition vers le présent
  - Événement récent lié à cette période historique
  
Conclusion
  - Remerciements
  - Message d'espoir ou de résilience

Cette structure permet de présenter un récit personnel en le contextualisant avec des événements historiques, avant de faire le lien avec le présent. Elle pourrait être réutilisée pour d'autres témoignages qui combinent expérience personnelle et contexte historique. Les points clés sont l'introduction qui pose le contexte, le corps centré sur le récit et la transition vers le présent, et la conclusion qui boucle sur une note positive ou de résilience.",329,"[-0.01792704 -0.00688409  0.0101001  ... -0.01783663 -0.01122377
 -0.03556994]",0
"Voici la structure sémantique générique du TED Talk :

Introduction
    - Accroche initiale 
    - Présentation du contexte/sujet
    - Annonce du plan

Corps du Talk
    - Point 1 : Description d'un problème/défi
    - Point 2 : Explication des limites des solutions actuelles 
    - Point 3 : Présentation d'une nouvelle approche/idée pour résoudre le problème

Conclusion 
    - Résumé des points clés
    - Appel à l'action/changement
    - Projection positive sur l'avenir",180,"[ 0.00313102  0.00330443  0.00646115 ... -0.0157354  -0.02544638
 -0.02448299]",3
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Présenter le sujet
    - Donner le contexte
    - Expliquer l'intérêt du sujet

Corps du Talk  
    - Développer le premier aspect/point clé
    - Illustrer avec des exemples/données
    - Développer le deuxième aspect/point clé 
    - Illustrer avec des exemples/données
    - ...

Conclusion
    - Résumer les principaux points
    - Donner une conclusion/ouverture
    - Faire un appel à l'action (si pertinent)

Cette structure peut être réutilisée pour écrire un nouveau talk en remplaçant les aspects spécifiques (sujet, points clés, exemples, etc.) par les nouvelles informations fournies (thème, ton, source d'information), tout en conservant la structure logique générique.",281,"[-0.00804171  0.0052239   0.01375455 ... -0.02308293 -0.02084412
 -0.02694296]",0
"Voici un schéma générique pour la structure du TED Talk :

Introduction
    - Accroche
    - Présentation du contexte
    - Annonce du sujet
    
Corps du Talk
    - Présentation de l'expérience personnelle
        - Élément 1
        - Élément 2
        - Élément n
    - Explication du processus/de la démarche
        - Étape 1
        - Étape 2
        - Étape n
    - Partage des résultats/des découvertes
        - Résultat 1
        - Résultat 2 
        - Résultat n
    - Transition vers la conclusion
    
Conclusion    
    - Synthèse des idées principales
    - Mise en perspective
    - Ouverture/regard vers l'avenir",295,"[-0.0045734   0.00948033  0.0186143  ... -0.02350199 -0.0127388
 -0.02981366]",4
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Présentation du sujet
    - Présentation de l'intervenant
    - Contexte personnel de l'intervenant par rapport au sujet

Corps du Talk 
    - Présentation du problème/sujet à résoudre
    - Explication de la solution proposée
        - Description de la technologie/idée
        - Avantages par rapport aux solutions existantes
    - Présentation des résultats obtenus
        - Tests et expériences réalisées
        - Données quantitatives
        - Témoignages
    - Perspectives futures
        - Applications potentielles
        - Bénéfices attendus

Conclusion
    - Résumé des points clés
    - Appel à l'action
    - Remerciements",278,"[-0.00476804  0.01420104  0.01028995 ... -0.03237115 -0.02158506
 -0.02063145]",2
" Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Présentation de l'angle d'approche

Corps du Talk
    - Exposition de la problématique
    - Présentation des recherches/analyses effectuées
    - Explication des résultats obtenus
    - Illustration par des exemples concrets

Conclusion  
    - Résumé des points clés
    - Mise en perspective
    - Message à retenir",160,"[-0.01051595  0.01029056  0.00759879 ... -0.02506313 -0.02714958
 -0.02301532]",2
"Voici une structure générique pour ce TED Talk :

Introduction
    - Présentation du sujet
    - Mise en contexte

Corps du Talk  
    - Point 1 : Information clé 1 
        - Sous-point 1
        - Sous-point 2
    - Point 2 : Information clé 2
        - Sous-point 1 
        - Sous-point 2
    - Point 3 : Information clé 3
        - Sous-point 1
        - Sous-point 2 

Conclusion  
    - Résumé des points clés
    - Conclusion générale
    - Ouverture/perspective",209,"[-0.00151992  0.0089812   0.01132944 ... -0.02322503 -0.01828408
 -0.02276182]",4
"Voici une proposition de structure générique pour le TED Talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Annonce du plan

Corps du Talk  
    - Point clé 1
        - Exemple(s)
        - Transition  
    - Point clé 2
        - Exemple(s) 
        - Transition
    - Point clé 3
        - Exemple(s)
        - Transition
        
Conclusion
    - Résumé des points clés
    - Conclusion générale 
    - Ouverture/perspective

Cette structure permet de présenter un sujet de manière logique et convaincante, en introduisant le thème, en développant des points clés appuyés par des exemples concrets, et en concluant de manière cohérente. Le schéma est assez précis pour être réutilisé avec de nouvelles informations (thème, ton, sources) afin d'écrire un nouveau talk en suivant la même structure.",339,"[-0.00725282 -0.00099791  0.01491936 ... -0.02103448 -0.0288303
 -0.02937329]",0
"Voici une proposition de structure générique pour ce TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk 
    - Point 1 
        - Introduction du point 1
        - Développement 
        - Exemple(s) illustratif(s)
    - Point 2
        - Introduction du point 2
        - Développement 
        - Exemple(s) illustratif(s) 
    - Point 3
        - Introduction du point 3
        - Développement
        - Exemple(s) illustratif(s)

Conclusion
    - Synthèse des points clés
    - Conclusion personnelle 
    - Ouverture/perspective

Cette structure en 3 parties (intro, développement, conclusion) est très classique pour un exposé ou une présentation. Le corps du talk est structuré en 3 points principaux, chacun introduit puis développé avec des exemples. Cela permet d'organiser le contenu de façon claire et progressive. La conclusion fait la synthèse et ouvre des perspectives.

Le plan est suffisamment détaillé et générique pour servir de modèle réutilisable en adaptant les points et exemples au thème choisi, tout en conservant la",416,"[-0.00737428  0.00171864  0.00891192 ... -0.02420506 -0.02256491
 -0.02566582]",0
" Voici une structure générique possible pour ce TED talk :

Introduction
    - Présentation de l'orateur
    - Contexte historique 
    - Problématique

Corps du Talk
    - Récit chronologique
        - Situation initiale
        - Événements clés 
        - Obstacles
        - Résolutions
    - Témoignage personnel
    - Leçons tirées
    
Conclusion
    - Résumé
    - Conclusion personnelle
    - Ouverture",172,"[-0.00784898  0.00062486  0.00823499 ... -0.02588875 -0.01672732
 -0.0235984 ]",2
"Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Présentation de la problématique

Corps du Talk
    - Présentation de la situation actuelle
        - Élément 1
        - Élément 2 
        - etc.
    - Présentation de la nouvelle approche
        - Avantage 1
        - Avantage 2
        - etc.
    - Explications sur le fonctionnement
        - Point clé 1
        - Point clé 2
        - etc. 
    - Témoignages / exemples concrets

Conclusion
    - Synthèse 
    - Perspectives
    - Message à retenir

Cette structure permet de présenter dans un premier temps le sujet et la problématique, puis de développer le corps du talk en présentant la situation actuelle et les limites qu'elle pose, avant d'introduire une nouvelle approche apportant des avantages. Des explications et exemples concrets viennent ensuite étayer cette nouvelle approche. Enfin, la conclusion résume les points clés et ouvre des perspectives tout en soulignant le message principal à retenir.

Ce modèle générique peut être adapté à différents sujets et contenus, en suivant cette structure en introduction,",438,"[-0.00959429  0.00232784  0.00092036 ... -0.02384425 -0.02986319
 -0.02268676]",0
"Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche
    - Présentation du contexte
    - Annonce du plan
  
Corps du Talk 
  - Thèse 1
      - Argument 1
      - Argument 2
      - Exemple
  - Thèse 2  
      - Argument 1
      - Argument 2
      - Exemple
  - Thèse 3
      - Argument 1  
      - Argument 2
      - Exemple
      
Conclusion
  - Résumé des thèses
  - Ouverture / Elargissement
  
Cette structure générique permet de présenter une problématique en introduisant le sujet et le contexte, puis de développer plusieurs thèses appuyées chacune par des arguments et des exemples concrets, avant de conclure en résumant les idées défendues et en ouvrant sur de nouvelles perspectives. 

Elle est suffisamment précise tout en restant très flexible pour s'adapter à de nombreux sujets et permettre d'écrire un nouveau talk en suivant le même modèle. Il suffirait alors de renseigner le thème, le ton souhaité et les sources d'information pour générer un nouveau contenu dans cette structure.",403,"[ 0.00200045  0.00520149  0.00455452 ... -0.01726533 -0.02296894
 -0.03053943]",0
" Voici une proposition de structure sémantique générique pour ce TED Talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk
    - Présentation du problème
    - Explication de la solution actuelle et de ses limites
    - Présentation de la nouvelle solution
        - Description
        - Démonstration
        - Avantages
    - Projection sur l'impact positif à grande échelle

Conclusion
    - Résumé des points clés
    - Appel à l'action
    - Remerciements",196,"[-0.00140475  0.00858801  0.01375124 ... -0.02797127 -0.02536687
 -0.02423395]",1
" Voici la structure générique proposée pour ce TED talk :

Introduction
    - Présentation du sujet
    - Mise en contexte
    - Formulation de la problématique

Corps du Talk
    - Présentation d'un exemple concret illustrant la problématique
    - Explication des causes de la problématique
    - Proposition de solution
        - Description de la solution
        - Explication du fonctionnement de la solution
        - Avantages de la solution
    - Perspectives d'avenir et impact positif de la solution

Conclusion 
    - Résumé des points clés
    - Ouverture sur les possibilités offertes par la solution
    - Message d'espoir et d'encouragement",226,"[-0.00095125  0.00908042  0.00157198 ... -0.02651894 -0.02597721
 -0.02399087]",2
" Voici la structure générique du TED talk :

Introduction
    - Accroche 
    - Introduction du sujet
    - Annonce du plan

Corps du Talk
    - Présentation de l'idée principale
    - Développement de l'idée principale
    - Exemples et preuves à l'appui
    - Transition vers la partie suivante

Corps du Talk 
    - Nouvelle idée 
    - Développement de la nouvelle idée
    - Exemples et preuves à l'appui
    - Transition vers la conclusion

Conclusion
    - Résumé des idées principales
    - Conclusion personnelle 
    - Ouverture/perspective",211,"[-0.00687047  0.01266864  0.00870046 ... -0.02474655 -0.0265059
 -0.02279456]",2
"Voici une proposition de structure sémantique générique pour le TED talk :

Introduction
    - Présentation de l'orateur
    - Contexte personnel 
    - Motivation et objectifs du talk

Corps du Talk  
    - Thème 1
        - Idée principale
        - Exemples
        - Preuves
    - Thème 2
        - Idée principale 
        - Exemples
        - Preuves
    - Thème 3
        - Idée principale
        - Exemples
        - Preuves

Conclusion
    - Résumé des idées principales
    - Conclusion personnelle
    - Message à retenir
    - Remerciements",251,"[-0.00021363  0.01335224  0.01517567 ... -0.02261319 -0.02805081
 -0.02254783]",3
"Voici une proposition de structure générique pour le TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk  
    - Argument 1
        - Explication
        - Exemples
    - Argument 2 
        - Explication
        - Exemples 
    - Argument 3
        - Explication
        - Exemples

Conclusion
    - Résumé des arguments
    - Conclusion
    - Ouverture

Cette structure permet de présenter une problématique, de développer des arguments étayés par des exemples, puis de conclure en résumant les idées développées. Elle peut être réutilisée quel que soit le sujet du talk, en adaptant les arguments et exemples au thème choisi. La structure reste la même et permet d'organiser logiquement les idées pour construire un discours convaincant.",300,"[-0.00618239  0.00632646  0.00224116 ... -0.02188649 -0.02671458
 -0.02661212]",0
"Voici une proposition de structure générique pour le TED talk :

Introduction
  - Accroche
  - Présentation du sujet
  
Corps du talk
  - Point de vue 1
  - Arguments soutenant ce point de vue
  - Exemples illustrant ces arguments
  - Point de vue 2
  - Arguments soutenant ce point de vue 
  - Exemples illustrant ces arguments
  - Comparaison et lien entre les deux points de vue
  
Conclusion
  - Synthèse 
  - Ouverture

Cette structure permet de présenter deux points de vue sur un sujet, avec des arguments et exemples pour chacun, avant de les comparer et de conclure. Elle pourrait être réutilisée pour d'autres talks en adaptant les points de vue, arguments et exemples au nouveau sujet, tout en conservant la structure logique.",242,"[-0.00255888  0.00194313  0.00548494 ... -0.02290158 -0.02427932
 -0.02893242]",0
" Voici un plan générique pour la structure du TED talk :

Introduction
    - Accroche 
    - Présentation du sujet
    - Présentation de la problématique

Corps du Talk 
    - Présentation d'un concept/une idée
    - Développement/Exemples
    - Introduction d'un nouveau concept/une nouvelle idée 
    - Développement/Exemples
    - Transition

Conclusion
    - Résumé des points clés
    - Ouverture/Perspective
    - Conclusion personnelle de l'orateur",175,"[-0.01134851  0.00305401  0.00584776 ... -0.02290265 -0.02265845
 -0.02444491]",2
"Voici une structure sémantique générique pour ce TED talk :

Introduction
    - Accroche
    - Présentation du sujet
    - Annonce du plan

Corps du Talk  
    - Arguments pour la thèse défendue
        - Argument 1
        - Argument 2 
        - Argument 3
    - Réfutations des contre-arguments  
    - Exemples à l'appui des arguments
    - Témoignages 
    - Données factuelles

Conclusion
    - Résumé des arguments 
    - Conclusion générale
    - Ouverture/perspective

Ce format de plan pourrait être réutilisé pour écrire un nouveau talk en remplaçant les éléments spécifiques (arguments, exemples, etc.) par des informations correspondant à un nouveau sujet, tout en conservant la structure logique générique.",279,"[-0.00237063  0.00634106  0.00843535 ... -0.02242964 -0.02475663
 -0.03066461]",3
" Voici une structure sémantique générique pour ce TED talk :

Introduction
    - Présenter le contexte et le sujet
    - Expliquer l'intérêt personnel pour le sujet
    - Annoncer les points clés qui seront abordés

Corps du Talk  
    - Présenter le problème/enjeu principal
    - Fournir des preuves et des exemples concrets 
    - Expliquer les causes et conséquences
    - Présenter des solutions et idées
    - Illustrer avec des anecdotes personnelles
    - Utiliser des supports visuels (images, vidéos, etc.)

Conclusion
    - Résumer les points clés 
    - Expliquer l'importance du sujet
    - Finir sur une note d'espoir ou un appel à l'action

Cette structure générique pourrait être réutilisée pour écrire un nouveau talk en remplaçant le contenu spécifique par de nouvelles informations sur un autre sujet, tout en conservant la même logique et progression des idées. Les proportions de chaque partie peuvent varier selon le sujet et le ton souhaité.",342,"[-0.00179092  0.0045281   0.01975092 ... -0.0220499  -0.01964931
 -0.0325922 ]",0
" Voici la structure sémantique générique du TED Talk :

Introduction
    - Accroche
    - Présentation du problème
    - Présentation de la solution
    
Corps du Talk
    - Explication du problème
    - Démonstration de la solution
    - Présentation des détails techniques
    - Appel à l'action
    
Conclusion
    - Résumé 
    - Projection dans le futur
    - Remerciements",150,"[-0.00301216  0.01060357  0.01264593 ... -0.02547169 -0.02797647
 -0.02666627]",1
